ticker,year,filingDate,source_used,filing_char_count,header_found,acceptance_datetime,period_of_report,public_document_count,state_of_incorporation,sec_file_number
MSFT,2020,2020-07-30,sec_download,371726,False,,,,,
MSFT,2021,2021-07-29,sec_download,380132,False,,,,,
MSFT,2022,2022-07-28,sec_download,378962,False,,,,,
MSFT,2023,2023-07-27,sec_download,373689,False,,,,,
MSFT,2024,2024-07-30,sec_download,390416,False,,,,,
ORCL,2020,2020-06-22,sec_download,488875,False,,,,,
ORCL,2021,2021-06-21,sec_download,477559,False,,,,,
ORCL,2022,2022-06-21,sec_download,464229,False,,,,,
ORCL,2023,2023-06-20,sec_download,469093,False,,,,,
ORCL,2024,2024-06-20,sec_download,457391,False,,,,,
AAPL,2020,2020-10-30,sec_download,270265,False,,,,,
AAPL,2021,2021-10-29,sec_download,240625,False,,,,,
AAPL,2022,2022-10-28,sec_download,233235,False,,,,,
AAPL,2023,2023-11-03,sec_download,216635,False,,,,,
AAPL,2024,2024-11-01,sec_download,218587,False,,,,,
