company,ticker,cik,form,filingDate,year,accessionNumber,primaryDocument,filing_url,accession_nodash,header_found,acceptance_datetime,public_document_count,period_of_report,filed_as_of_date,date_as_of_change,company_conformed_name,central_index_key,sic_full,sic_code_header,sic_description,organization_name,irs_number,state_of_incorporation,fiscal_year_end_header,form_type_header,sec_act,sec_file_number,film_number,business_city,business_state,business_zip,business_phone,mail_city,mail_state,mail_zip,former_company_name,former_name_change_date,source_used,raw_path,filing_char_count
Microsoft,MSFT,0000789019,10-K,2020-07-30,2020,0001564590-20-034944,msft-10k_20200630.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459020034944/msft-10k_20200630.htm,000156459020034944,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,sec_download,,371726
Microsoft,MSFT,0000789019,10-K,2021-07-29,2021,0001564590-21-039151,msft-10k_20210630.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459021039151/msft-10k_20210630.htm,000156459021039151,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,sec_download,,380132
Microsoft,MSFT,0000789019,10-K,2022-07-28,2022,0001564590-22-026876,msft-10k_20220630.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459022026876/msft-10k_20220630.htm,000156459022026876,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,sec_download,,378962
Microsoft,MSFT,0000789019,10-K,2023-07-27,2023,0000950170-23-035122,msft-20230630.htm,https://www.sec.gov/Archives/edgar/data/789019/000095017023035122/msft-20230630.htm,000095017023035122,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,sec_download,,373689
Microsoft,MSFT,0000789019,10-K,2024-07-30,2024,0000950170-24-087843,msft-20240630.htm,https://www.sec.gov/Archives/edgar/data/789019/000095017024087843/msft-20240630.htm,000095017024087843,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,sec_download,,390416
Oracle,ORCL,0001341439,10-K,2020-06-22,2020,0001564590-20-030125,orcl-10k_20200531.htm,https://www.sec.gov/Archives/edgar/data/1341439/000156459020030125/orcl-10k_20200531.htm,000156459020030125,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,sec_download,,488875
Oracle,ORCL,0001341439,10-K,2021-06-21,2021,0001564590-21-033616,orcl-10k_20210531.htm,https://www.sec.gov/Archives/edgar/data/1341439/000156459021033616/orcl-10k_20210531.htm,000156459021033616,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,sec_download,,477559
Oracle,ORCL,0001341439,10-K,2022-06-21,2022,0001564590-22-023675,orcl-10k_20220531.htm,https://www.sec.gov/Archives/edgar/data/1341439/000156459022023675/orcl-10k_20220531.htm,000156459022023675,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,sec_download,,464229
Oracle,ORCL,0001341439,10-K,2023-06-20,2023,0000950170-23-028914,orcl-20230531.htm,https://www.sec.gov/Archives/edgar/data/1341439/000095017023028914/orcl-20230531.htm,000095017023028914,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,sec_download,,469093
Oracle,ORCL,0001341439,10-K,2024-06-20,2024,0000950170-24-075605,orcl-20240531.htm,https://www.sec.gov/Archives/edgar/data/1341439/000095017024075605/orcl-20240531.htm,000095017024075605,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,sec_download,,457391
